Unnamed: 0,statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,description,dataset
0,20370,5470,2385,145,52,0.0,0,0.0,0,1,1
1,3131,506,381,9,40,0.0,0,0.0,0,1,1
2,4024,264,87,323,16,0.0,0,1.0,0,1,1
3,40586,640,622,1118,32,0.0,0,0.0,0,1,1
4,2016,62,64,13,0,0.0,0,0.0,0,1,1
5,3603,138,179,53,1,0.0,0,1.0,0,1,1
6,1183,128,168,2,5,0.0,0,1.0,0,1,1
7,6194,1062,1770,597,5,0.0,0,0.0,0,1,1
8,10962,23368,958,590,715,0.0,0,0.0,0,1,1
9,10947,760,712,693,27,0.0,0,1.0,0,1,1
10,2754,477,218,224,13,0.0,0,0.0,0,1,1
11,26713,1390,1177,914,68,0.0,0,0.0,0,1,1
12,4111,314,338,47,8,0.0,0,1.0,0,1,1
13,1441,97,203,25,2,0.0,0,1.0,0,1,1
14,1698,289,1930,45,3,0.0,0,0.0,0,1,1
15,402,93,78,36,4,0.0,0,0.0,0,1,1
16,16935,2242,918,44,124,0.0,0,1.0,0,1,1
17,9437,689,891,199,37,0.0,0,0.0,0,1,1
18,3742,505,571,100,3,0.0,0,1.0,0,1,1
19,770,81,181,89,2,0.0,0,1.0,0,1,1
20,1430,128,371,204,1,0.0,0,0.0,0,1,1
21,6996,899,305,346,28,0.0,0,0.0,0,1,1
22,3284,375,1039,1,8,0.0,0,1.0,0,1,1
23,160,46,146,22,0,1.0,0,0.0,0,1,1
24,292,57,110,5,0,1.0,0,0.0,0,1,1
25,5876,616,647,1061,29,0.0,0,0.0,0,1,1
26,7534,1132,1096,6,52,0.0,0,0.0,0,1,1
27,1294,254,276,89,8,0.0,0,1.0,0,1,1
28,6340,298,419,5,15,0.0,0,0.0,0,1,1
29,5472,6352,3873,65,11,0.0,0,1.0,0,1,1
30,22540,2065,1125,0,64,0.0,0,0.0,0,1,1
31,732,85,338,16,3,0.0,0,0.0,0,1,1
32,38781,623,323,1209,22,0.0,0,0.0,0,1,1
33,10451,1265,323,38,24,0.0,0,0.0,0,1,1
34,2784,256,873,284,2,0.0,0,0.0,0,1,1
35,823,43,109,5,1,0.0,0,0.0,0,1,1
36,442,79,259,0,3,1.0,0,0.0,0,1,1
37,350,86,131,116,3,0.0,0,1.0,0,1,1
38,3694,393,1047,6,8,0.0,0,1.0,0,1,1
39,9686,208,196,219,4,0.0,0,0.0,0,1,1
40,16427,555,755,8,18,0.0,0,0.0,0,1,1
41,1006,85,121,19,1,0.0,0,0.0,0,1,1
42,1122,300,951,8,6,0.0,0,0.0,0,1,1
43,1386,88,267,106,0,0.0,0,1.0,0,1,1
44,18267,1964,2003,22732,4,0.0,0,1.0,0,1,1
45,15365,3813,1505,550,63,0.0,0,1.0,0,1,1
46,2242,552,1446,13,8,0.0,0,0.0,0,1,1
47,4149,279,64,20,22,0.0,0,0.0,0,1,1
48,8384,2526,299,1178,41,0.0,0,1.0,0,1,1
49,612,100,259,24,2,0.0,0,1.0,0,1,1
50,660,126,407,0,0,0.0,0,0.0,0,1,1
51,5287,849,1846,117,3,0.0,0,1.0,0,1,1
52,2275,165,285,181,4,0.0,0,1.0,0,1,1
53,3551,87,174,7,2,0.0,0,1.0,0,1,1
54,282,12,36,6,0,0.0,0,1.0,0,1,1
55,493,47,80,24,0,0.0,0,0.0,0,1,1
56,1012,283,268,15,3,0.0,0,1.0,0,1,1
57,1706,134,257,0,2,0.0,0,0.0,0,1,1
58,103,45,66,0,0,0.0,0,1.0,0,1,1
59,189,35,178,6,0,0.0,0,1.0,0,1,1
60,3720,179,154,6,2,0.0,0,0.0,0,1,1
61,1566,110,295,71,1,0.0,0,0.0,0,1,1
62,1672,627,1089,11,4,0.0,0,0.0,0,1,1
63,969,69,210,233,1,0.0,0,0.0,0,1,1
64,7307,378,239,2620,30,0.0,0,0.0,0,1,1
65,4240,1012,1449,578,25,0.0,0,0.0,0,1,1
66,74,16,42,88,0,1.0,0,0.0,0,1,1
67,6866,463,330,2180,5,0.0,0,1.0,0,1,1
68,31546,151,301,294,2,0.0,0,1.0,0,1,1
69,966,69,318,3,0,0.0,0,1.0,0,1,1
70,28808,2638,1743,1021,39,0.0,0,1.0,0,1,1
71,386,88,205,25,1,0.0,0,0.0,0,1,1
72,3763,1169,1642,32,7,0.0,0,1.0,0,1,1
73,522,319,793,10,11,1.0,0,0.0,0,1,1
74,30547,445,489,304,16,0.0,0,0.0,0,1,1
75,6175,362,318,181,11,0.0,0,0.0,0,1,1
76,348,262,1513,28,1,0.0,0,0.0,0,1,1
77,484,232,431,10,0,1.0,0,0.0,0,1,1
78,2190,46,122,15,0,0.0,0,1.0,0,1,1
79,116,22,49,16,0,0.0,0,0.0,0,1,1
80,482,26,73,5,0,0.0,0,0.0,0,1,1
81,344,49,20,37,0,0.0,0,0.0,0,1,1
82,1805,258,191,4,14,0.0,0,0.0,0,1,1
83,748,85,460,80,1,0.0,0,1.0,0,1,1
84,34917,1161,194,2,28,1.0,0,0.0,0,1,1
85,3397,173,390,3,2,0.0,0,1.0,0,1,1
86,5561,587,295,4,9,0.0,0,1.0,0,1,1
87,3526,257,473,8,1,0.0,0,0.0,0,1,1
88,371,413,70,9,6,0.0,0,1.0,0,1,1
89,1361,149,463,289,2,0.0,0,1.0,0,1,1
90,887,280,502,13,1,0.0,0,0.0,0,1,1
91,3276,125,549,224,2,0.0,0,1.0,0,1,1
92,971,48,112,8,1,1.0,0,0.0,0,1,1
93,8173,231,433,413,3,0.0,0,0.0,0,1,1
94,728,120,406,16,1,0.0,0,1.0,0,1,1
95,350,46,115,240,1,0.0,0,0.0,0,1,1
96,9626,508,1153,3819,0,0.0,0,1.0,0,1,1
97,4736,414,1196,166,2,0.0,0,0.0,0,1,1
98,732,191,656,1,1,0.0,0,0.0,0,1,1
99,516,46,96,28,0,0.0,0,0.0,0,1,1
100,8635,1707,1376,3266,67,0.0,0,0.0,0,1,1
101,2935,184,302,1,5,0.0,0,0.0,0,1,1
102,1030,369,202,1,13,1.0,0,0.0,0,1,1
103,2035,209,168,216,2,0.0,0,0.0,0,1,1
104,3152,162,352,23,7,0.0,0,0.0,0,1,1
105,6131,488,366,1058,10,0.0,0,0.0,0,1,1
106,3902,290,347,918,12,1.0,0,0.0,0,1,1
107,4357,231,152,90,0,0.0,0,1.0,0,1,1
108,18810,685,688,12,29,0.0,0,0.0,0,1,1
109,3302,370,934,103,7,0.0,0,0.0,0,1,1
110,160,23,227,1,0,0.0,0,1.0,0,1,1
111,6002,272,336,0,15,0.0,0,1.0,0,1,1
112,1781,105,427,234,0,0.0,0,1.0,0,1,1
113,1184,75,138,0,0,0.0,0,1.0,0,1,1
114,13159,501,697,79,11,0.0,0,0.0,0,1,1
115,280,50,1273,8,1,0.0,0,0.0,0,1,1
116,5237,245,241,115,4,1.0,0,0.0,0,1,1
117,611,87,173,1,1,1.0,0,0.0,0,1,1
118,835,111,768,36,0,0.0,0,0.0,0,1,1
119,1187,44,136,19,1,0.0,0,0.0,0,1,1
120,2185,74,345,32,1,0.0,0,0.0,0,1,1
121,148,249,548,1,1,0.0,0,1.0,0,1,1
122,1073,89,237,53,1,0.0,0,1.0,0,1,1
123,127,23,152,1,0,0.0,0,0.0,0,1,1
124,1601,147,405,9,3,0.0,0,1.0,0,1,1
125,704,129,380,12,0,1.0,0,0.0,0,1,1
126,57,76,650,0,0,0.0,0,0.0,0,1,1
127,552,80,290,11,1,0.0,0,0.0,0,1,1
128,4862,116,160,98,2,0.0,0,0.0,0,1,1
129,1652,412,1974,4,3,0.0,0,0.0,0,1,1
130,1786,63,185,342,2,0.0,0,1.0,0,1,1
131,238,45,99,39,0,0.0,0,0.0,0,1,1
132,764,99,226,22,0,0.0,0,0.0,0,1,1
133,5745,641,1221,95,5,0.0,0,0.0,0,1,1
134,2703,170,635,4,0,0.0,0,1.0,0,1,1
135,2683,57,215,82,0,0.0,0,0.0,0,1,1
136,2064,238,590,26,5,0.0,0,1.0,0,1,1
137,709,116,112,124,2,0.0,0,1.0,0,1,1
138,2893,160,227,71,4,0.0,0,0.0,0,1,1
139,1425,83,70,616,1,0.0,0,0.0,0,1,1
140,246,333,1598,10,0,0.0,0,1.0,0,1,1
141,519,139,454,17,3,1.0,0,0.0,0,1,1
142,1876,120,146,112,0,0.0,0,0.0,0,1,1
143,13774,254,192,520,5,0.0,0,0.0,0,1,1
144,16195,5027,5530,6698,73,1.0,0,0.0,0,1,1
145,3885,2812,1988,966,45,0.0,0,0.0,0,1,1
146,9147,100,162,369,4,0.0,0,1.0,0,1,1
147,80,54,187,46,1,1.0,0,0.0,0,1,1
148,684,65,281,1,0,0.0,0,0.0,0,1,1
149,351,28,76,3,1,0.0,0,1.0,0,1,1
150,6351,98,75,127,4,1.0,0,0.0,0,1,1
151,9372,179,723,87,0,0.0,0,0.0,0,1,1
152,537,117,552,4,1,0.0,0,1.0,0,1,1
153,446,84,418,4,1,0.0,0,0.0,0,1,1
154,5999,258,770,14,2,0.0,0,1.0,0,1,1
155,11156,148,104,18,5,0.0,0,1.0,0,1,1
156,139,53,53,0,1,1.0,0,0.0,0,1,1
157,567,77,171,6,0,0.0,0,0.0,0,1,1
158,77,14,18,1,1,1.0,0,0.0,0,1,1
159,235,78,152,55,0,0.0,0,0.0,0,1,1
160,25575,1672,802,2329,52,0.0,0,0.0,0,1,1
161,120,62,183,27,0,0.0,0,1.0,0,1,1
162,1130,88,111,97,4,0.0,0,0.0,0,1,1
163,79876,473,299,203,16,0.0,0,1.0,0,1,1
164,613,46,105,46,0,0.0,0,0.0,0,1,1
165,4288,126,199,5,1,1.0,0,0.0,0,1,1
166,3896,369,250,20,10,1.0,0,0.0,0,1,1
167,44,4,12,1,1,1.0,0,0.0,0,1,1
168,2277,150,536,33,5,0.0,0,0.0,0,0,1
169,326,444,620,1524,1,0.0,0,1.0,0,1,1
170,3730,220,282,34,6,0.0,0,1.0,0,1,1
171,2060,100,164,19,0,0.0,0,1.0,0,1,1
172,787,63,161,43,1,1.0,0,0.0,0,1,1
173,640,77,227,13,1,0.0,0,0.0,0,1,1
174,2475,207,356,38,1,0.0,0,0.0,0,1,1
175,1334,94,338,97,0,0.0,0,1.0,0,1,1
176,1349,161,546,1609,5,0.0,0,1.0,0,1,1
177,1533,96,168,46,0,0.0,0,1.0,0,1,1
178,413,42,275,42,0,0.0,0,0.0,0,1,1
179,2185,64,262,173,0,0.0,0,0.0,0,1,1
180,8713,563,774,6688,11,0.0,0,1.0,0,1,1
181,650,95,139,2,0,1.0,0,0.0,0,1,1
182,2617,128,324,63,3,0.0,0,1.0,0,1,1
183,268,120,429,76,0,0.0,0,1.0,0,1,1
184,1110,179,2000,0,1,0.0,0,0.0,0,1,1
185,4707,1772,1771,23,8,0.0,0,0.0,0,1,1
186,1447,252,667,2,2,0.0,0,1.0,0,1,1
187,3020,516,443,225,3,0.0,0,0.0,0,1,1
188,302,56,156,12,4,0.0,0,0.0,0,1,1
189,1809,102,392,18,1,1.0,0,0.0,0,1,1
190,271,21,63,8,1,0.0,0,0.0,0,1,1
191,8890,189,283,176,2,1.0,0,0.0,0,1,1
192,13300,238,158,1905,5,0.0,0,1.0,0,1,1
193,6212,369,198,103,5,0.0,0,1.0,0,1,1
194,1570,243,761,388,9,0.0,0,1.0,0,1,1
195,1111,84,601,0,3,1.0,0,0.0,0,1,1
196,4812,575,860,30,18,0.0,0,0.0,0,1,1
197,34098,13890,12773,85,486,0.0,0,0.0,0,1,1
198,6273,588,868,16,9,0.0,0,1.0,0,1,1
199,183,17,78,3,1,0.0,0,0.0,0,1,1
200,8387,214,314,3049,11,0.0,0,0.0,0,1,1
201,1373,281,405,127,3,0.0,0,0.0,0,1,1
202,33,20,95,0,0,0.0,0,0.0,0,1,1
203,2636,54,100,0,0,0.0,0,1.0,0,1,1
204,3199,111,216,289,7,0.0,0,0.0,0,1,1
205,16037,635,320,86,16,0.0,0,0.0,0,1,1
206,5756,554,1853,32,10,0.0,0,0.0,0,1,1
207,4712,469,1988,98,5,0.0,0,1.0,0,1,1
208,1497,153,308,121,3,0.0,0,1.0,0,1,1
209,1959,289,364,56,1,0.0,0,1.0,0,1,1
210,7838,213,506,180,9,0.0,0,1.0,0,1,1
211,1476,125,187,0,0,1.0,0,0.0,0,1,1
212,5367,409,1159,27,25,0.0,0,1.0,0,1,1
213,1407,263,414,72,4,0.0,0,1.0,0,1,1
214,873,122,427,33,2,1.0,0,0.0,0,1,1
215,2396,46,68,154,0,0.0,0,0.0,0,0,1
216,1913,151,1172,171,0,0.0,0,1.0,0,1,1
217,96,23,60,1,0,0.0,0,0.0,0,1,1
218,540,116,220,45,1,1.0,0,0.0,0,1,1
219,21069,2221,1636,944,26,0.0,0,1.0,0,1,1
220,6256,517,34,264,3,0.0,0,1.0,0,1,1
221,4043,126,126,98,1,0.0,0,1.0,0,1,1
222,6213,245,153,0,11,0.0,0,1.0,0,1,1
223,4418,111,282,146,1,0.0,0,0.0,0,1,1
224,478,34,77,2,0,0.0,0,1.0,0,1,1
225,6631,292,611,66,3,0.0,0,0.0,0,1,1
226,93,18,186,28,0,0.0,0,0.0,0,1,1
227,802,44,63,29,0,0.0,0,0.0,0,1,1
228,315,44,138,9,0,1.0,0,0.0,0,1,1
229,831,75,217,519,0,0.0,0,1.0,0,1,1
230,277,35,139,0,1,0.0,0,1.0,0,1,1
231,4082,244,294,257,0,0.0,0,0.0,0,1,1
232,334,21,368,3,0,0.0,0,0.0,0,1,1
233,299,29,28,3,0,0.0,0,0.0,0,1,1
234,319,40,53,1,0,1.0,0,0.0,0,1,1
235,549,123,213,2,0,0.0,0,1.0,0,1,1
236,618,22,125,207,0,0.0,0,1.0,0,1,1
237,421,48,96,1,0,0.0,0,1.0,0,1,1
238,1205,233,40,29,1,0.0,0,0.0,0,1,1
239,1667,408372,194,4,744,0.0,0,0.0,0,1,1
240,9057,504,401,3891,9,0.0,0,1.0,0,1,1
241,294,30,96,4,0,0.0,0,0.0,0,1,1
242,294,42,81,13,0,0.0,0,1.0,0,1,1
243,508,479,261,0,17,0.0,0,0.0,0,1,1
244,4476,612,257,267,35,0.0,0,0.0,0,1,1
245,1132,131,193,4,1,1.0,0,0.0,0,1,1
246,364,74,182,4,1,1.0,0,0.0,0,1,1
247,1181,55,271,6,0,0.0,0,0.0,0,1,1
248,360,95,213,1,0,0.0,0,1.0,0,1,1
249,28,19,253,12,0,1.0,0,0.0,0,1,1
250,159,27,255,2,0,1.0,0,0.0,0,1,1
251,649,68,178,60,1,1.0,0,0.0,0,1,1
252,2264,169,1021,30,2,0.0,0,0.0,0,1,1
253,67,15,76,0,0,0.0,0,1.0,0,1,1
254,3833,111,216,0,1,0.0,0,1.0,0,1,1
255,76,30,96,8,0,0.0,0,1.0,0,1,1
256,495,34,68,5,0,1.0,0,0.0,0,1,1
257,2349,76,377,8,0,0.0,0,0.0,0,1,1
258,10619,11089,565,776,245,0.0,0,1.0,0,1,1
259,820,227,521,20,5,0.0,0,0.0,0,0,1
260,758,102,254,2,2,0.0,0,0.0,0,1,1
261,1065,144,543,156,0,1.0,0,0.0,0,1,1
262,380,65,186,1,0,0.0,0,0.0,0,1,1
263,9971,1271,619,10146,15,0.0,0,0.0,0,1,1
264,117,53,56,1,2,0.0,0,0.0,0,1,1
265,14467,1612,1581,431,10,0.0,0,0.0,0,1,1
266,1869,95,135,42,0,0.0,0,0.0,0,1,1
267,504,133,270,1,3,0.0,0,0.0,0,1,1
268,360,190,620,12,0,0.0,0,0.0,0,1,1
269,2620,357,826,17,1,0.0,0,1.0,0,1,1
270,3461,239,348,458,4,0.0,0,0.0,0,1,1
271,9966,115,454,60,10,0.0,0,0.0,0,1,1
